"","Participant","MAAS_1","MAAS_2","MAAS_3","MAAS_4","MAAS_5","MAAS_6","MAAS_7","MAAS_8","MAAS_9","MAAS_10","MAAS_11","MAAS_12","MAAS_13","MAAS_14","MAAS_15","Nomo1_1","Nomo1_2","Nomo1_3","Nomo1_4","Nomo1_5","Nomo1_6","Nomo1_7","Nomo1_8","Nomo1_9","Nomo2_1","Nomo2_2","Nomo2_3","Nomo2_4","Nomo2_5","Nomo2_6","Nomo2_7","Nomo2_8","Nomo2_9","Nomo2_10","Nomo2_11","sleep_hours","sleep_quality","sleep_effects","sleep_onset","sleep_phone","SSS.1","SSS.2","SSS.3","SSS.4","SSS.5","SSS.6","SSS.7","SSS.8","SSS.9","SSS.10","SSS.11","SSS.12","SSS.13","SSS.14","SSS.15","SSS.16","SSS.17","SSS.18","SSS.19","SSS.20","SSS.21","SSS.22","SSS.23","SSS.24","SSS.25","SSS.26","SSS.27","SSS.28","SSS.29","SSS.30","SSS.31","SSS.32","SSS.33","SSS.34","SSS.35","SSS.36","SSS.37","SSS.38","SSS.39","SSS.40","Reliance_1","Reliance_2","Reliance_3","Reliance_4","Reliance_5","Reliance_6","Reliance_7","Reliance_8","Reliance_9","Reliance_10","Reliance_11","Reliance_12","Reliance_13","ASRS1_1","ASRS1_2","ASRS1_3","ASRS1_4","ASRS1_5","ASRS1_6","ASRS2_1","ASRS2_2","ASRS2_3","ASRS2_4","ASRS2_5","ASRS2_6","ASRS2_7","ASRS2_8","ASRS2_9","ASRS2_10","ASRS2_11","ASRS2_12","Sex","Gender","Age","Race.s.","OwnSP","SPhours_1","OwnSW","id","ADHD1","ADHD2","ADHD3","ADHD4","ADHD5","ADHD6","ADHD7","ADHD8","ADHD9","ADHD10","ADHD11","ADHD12","ADHD13","ADHD14","ADHD15","ADHD16","ADHD17","ADHD18","MAAS_avg","NOMO_sum","ADHD_sum","SSS_sum","reliance_sum","ADHD_z","NOMO_z","SSS_z","reliance_z","MAAS_z","SSS_TAS","SSS_ES","SSS_Dis","SSS_BS"
"162",169,5,5,5,6,5,3,5,6,5,5,5,5,4,5,6,5,5,3,4,2,2,1,1,5,1,2,2,3,5,1,1,1,1,5,1,6,5,4,2,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,1,1,4,2,2,4,1,2,4,2,2,1,1,0,0,1,2,1,1,2,1,2,2,0,1,0,2,2,0,1,1,1,3,"1",1,1.5,2,22075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,51,1,11,28,-1.57201494149044,-1.30947753056951,-1.22252992758062,-1.51041902106735,1.72358959419762,1,3,2,4
"164",171,5,4,3,2,1,2,2,3,3,3,3,5,5,4,3,6,7,2,7,2,1,4,2,7,5,2,3,3,4,3,2,5,5,5,3,7.5,4,3,3,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,4,2,2,3,4,2,5,2,3,4,4,4,4,3,1,3,3,3,3,1,3,2,3,3,0,2,0,0,0,2,2,1,1,2,"1",1,6,2,22117,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,3.2,78,10,16,43,1.13342770076113,-0.130786729723503,-0.368788363958207,0.187410713916218,-0.57919041930348,5,3,5,3
"168",176,5,6,5,3,6,2,6,2,3,5,1,6,3,4,5,5,7,2,7,1,5,2,1,5,5,6,5,5,5,3,1,1,1,1,1,7,4,4,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,4,1,2,1,2,4,5,2,1,1,2,4,1,2,2,3,3,1,3,4,4,1,1,1,0,3,2,0,2,1,1,1,1,3,"1,3",1,2.4,2,NA,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,4.13333333333333,69,9,20,30,0.83282296273318,-0.523683663338839,0.314204886939725,-1.28404172306954,0.614843661771167,9,5,1,4
"171",180,5,5,2,4,5,1,2,2,2,2,2,1,3,3,5,4,5,3,4,6,4,5,6,6,4,6,5,6,6,5,1,1,1,1,1,7,3,2,4,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,4,4,2,5,5,3,4,4,4,3,4,3,3,1,3,0,4,3,2,1,3,2,1,2,0,3,0,4,0,3,1,1,1,1,"1",1,6.1,2,NA,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,2.93333333333333,80,8,24,48,0.532218224705228,-0.0434763000312056,0.997198137837658,0.75335395891074,-0.920343013896237,10,6,5,3
"172",181,4,5,3,3,3,3,3,5,3,3,3,4,4,5,4,6,4,3,4,5,4,4,4,4,5,5,5,5,5,5,4,5,5,5,5,8,4,4,6,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,4,4,3,4,4,5,4,5,3,4,4,2,3,1,1,1,1,1,1,3,3,1,2,3,2,3,2,2,2,2,2,1,1,1,"1",1,3.1,1,22360,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,3.66666666666667,92,7,20,49,0.231613486677275,0.480386278122577,0.314204886939725,0.866542607909644,0.0178266212338426,6,3,7,5
"186",195,2,6,5,5,6,1,1,1,6,6,1,6,4,6,6,4,7,6,6,2,4,2,7,7,5,7,7,7,7,6,2,2,2,6,6,8,4,5,4,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,3,1,2,2,2,2,2,4,4,4,3,4,4,2,2,2,4,3,4,2,1,2,2,3,0,2,0,0,4,0,2,1,1,2,"1",1,3.5,2,NA,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,4.13333333333333,102,10,23,37,1.13342770076113,0.916938426584062,0.826449825113175,-0.491721180077207,0.614843661771167,8,5,7,3
"197",207,3,3,2,1,2,2,1,3,4,3,2,5,1,3,3,7,7,5,7,3,3,6,4,7,5,5,6,5,7,5,5,6,5,5,7,8,2,2,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,5,5,2,4,4,5,5,4,4,4,4,5,5,4,3,4,4,4,2,4,4,2,4,3,1,3,1,1,2,2,2,1,1,1,"1",1,10.5,2,22420,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,2.53333333333333,110,13,18,56,2.03524191484499,1.26618014535325,-0.0272917385092412,1.65886315090197,-1.43207190578537,5,2,4,7
"198",208,6,5,4,2,6,3,3,4,4,5,4,6,1,4,6,1,7,1,7,1,1,3,2,2,1,2,1,1,1,1,1,1,1,1,1,7,2,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,1,2,3,1,2,3,2,2,5,2,2,0,2,3,1,3,3,1,1,1,1,2,2,1,1,1,1,1,1,5,"1",1,1,2,22015,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4.2,37,5,10,25,-0.36959598937863,-1.92065053841559,-1.39327824030511,-1.84998496806406,0.700131810419355,3,1,1,4
"203",213,6,5,5,3,4,2,4,4,3,3,3,5,4,3,5,5,6,4,6,5,1,5,1,6,2,2,2,2,2,5,2,5,2,2,3,8,4,4,3,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,2,3,4,4,3,4,4,2,2,4,4,2,4,1,1,2,1,3,3,1,3,2,4,2,0,3,1,1,1,1,2,1,1,2,"1",1,4.6,2,21919,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,3.93333333333333,68,8,19,42,0.532218224705228,-0.567338878184988,0.143456574215242,0.0742220649173141,0.358979215826599,6,4,7,2
"207",217,4,3,4,2,2,2,3,3,4,4,4,6,4,5,5,5,5,5,6,5,3,3,5,5,3,3,2,3,3,3,3,3,3,3,6,7,2,3,4,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,2,4,1,4,3,2,2,4,3,4,3,2,4,1,1,3,2,2,1,1,1,2,3,2,0,2,2,0,2,1,2,1,1,2,"1",1,6.1,2,22519,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,3.66666666666667,77,5,20,38,-0.36959598937863,-0.174441944569651,0.314204886939725,-0.378532531078303,0.0178266212338426,8,4,6,2
"210",220,6,6,5,5,5,5,6,5,5,5,5,6,5,5,6,2,3,1,5,1,1,1,2,2,1,2,1,2,2,1,1,1,1,3,2,7,4,4,2,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,3,2,3,2,3,2,4,2,3,4,3,2,3,2,1,1,3,2,0,2,2,1,1,1,0,1,0,0,0,0,1,1,1,4,"1",1,2.5,2,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33333333333333,35,2,22,36,-1.27141020346249,-2.00796096810789,0.655701512388691,-0.604909829076111,2.15003033743857,8,5,4,4
"214",224,4,6,5,4,3,3,4,5,6,5,5,4,4,3,3,3,4,2,6,5,2,3,2,6,7,6,6,6,7,5,2,1,2,1,3,6.5,3,4,1,2,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,4,4,4,4,3,2,4,3,4,4,3,3,2,4,2,2,1,2,2,1,4,1,2,2,2,1,1,2,1,1,2,"1",1,2,2,NA,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4.26666666666667,79,7,18,43,0.231613486677275,-0.0871315148773541,-0.0272917385092412,0.187410713916218,0.785419959067544,10,4,1,3
"215",225,5,6,4,5,4,1,5,5,6,6,4,4,2,5,6,5,6,1,4,1,1,2,1,6,5,1,1,2,4,2,1,1,3,1,1,8,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,2,4,4,3,3,5,3,1,2,1,2,1,2,3,2,1,3,0,1,2,0,3,1,2,0,2,3,1,1,3,"1",1,4,2,NA,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,4.53333333333333,49,5,3,39,-0.36959598937863,-1.39678796026181,-2.58851642937649,-0.265343882079399,1.1265725536603,1,1,0,1
"219",229,5,5,4,5,5,4,4,5,6,6,5,5,4,5,3,2,5,1,2,2,3,2,3,5,2,1,2,1,2,1,1,1,1,2,2,7,2,4,5,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,3,4,4,4,2,3,4,3,4,5,3,3,4,2,1,1,2,0,1,2,3,1,2,2,0,1,2,1,3,1,2,1,1,3,"1",1,3,2,22525,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4.73333333333333,41,4,17,46,-0.670200727406583,-1.746029679031,-0.198040051233724,0.526976660912931,1.38243699960487,6,4,3,4
"233",243,3,4,5,6,4,1,5,5,5,5,1,5,4,4,6,4,6,5,6,1,1,1,1,5,1,1,1,1,1,1,1,1,5,1,5,7,3,4,2,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,2,2,1,4,2,4,4,1,1,3,3,2,1,1,1,2,0,4,4,1,3,0,2,4,1,4,1,3,2,2,2,1,1,4,"1,4",1,3.5,2,22537,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,4.2,49,9,25,30,0.83282296273318,-1.39678796026181,1.16794645056214,-1.28404172306954,0.700131810419355,7,7,5,6
"235",245,3,3,3,3,2,4,3,4,4,3,2,5,4,4,5,5,6,5,5,3,3,4,5,5,5,5,5,5,5,5,5,5,6,6,4,6,2,2,9,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,3,3,3,2,4,4,3,3,4,4,4,2,5,1,1,2,2,2,2,1,2,1,3,2,3,1,1,2,1,2,3,1,1,2,"1",1,3.8,2,17359,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3.46666666666667,97,4,20,44,-0.670200727406583,0.698662352353319,0.314204886939725,0.300599362915123,-0.238037824710724,9,4,4,2
"237",249,5,5,3,5,3,3,4,4,5,5,3,5,3,2,3,3,3,2,5,2,1,2,2,5,2,4,2,2,4,2,2,2,2,1,2,8,4,4,4,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,2,1,1,2,4,4,4,3,3,4,3,2,4,2,1,1,3,4,2,2,3,2,2,3,2,4,2,1,2,1,1,1,1,3,"1",1,3,2,22096,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,3.86666666666667,50,9,16,37,0.83282296273318,-1.35313274541566,-0.368788363958207,-0.491721180077207,0.27369106717841,3,4,8,1
"239",252,3,3,5,2,5,2,2,3,3,2,2,2,2,2,5,2,5,2,5,1,1,7,1,7,4,4,4,2,5,1,1,1,1,1,1,10,2,3,6,2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,4,2,2,4,3,4,5,2,3,3,3,3,3,2,1,2,3,4,4,2,2,1,1,1,1,2,2,4,4,4,3,1,1,2,"1",1,5,2,22555,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2.86666666666667,56,9,18,41,0.83282296273318,-1.09120145633877,-0.0272917385092412,-0.0389665840815901,-1.00563116254443,9,5,2,2
