"","Participant","MAAS_1","MAAS_2","MAAS_3","MAAS_4","MAAS_5","MAAS_6","MAAS_7","MAAS_8","MAAS_9","MAAS_10","MAAS_11","MAAS_12","MAAS_13","MAAS_14","MAAS_15","Nomo1_1","Nomo1_2","Nomo1_3","Nomo1_4","Nomo1_5","Nomo1_6","Nomo1_7","Nomo1_8","Nomo1_9","Nomo2_1","Nomo2_2","Nomo2_3","Nomo2_4","Nomo2_5","Nomo2_6","Nomo2_7","Nomo2_8","Nomo2_9","Nomo2_10","Nomo2_11","sleep_hours","sleep_quality","sleep_effects","sleep_onset","sleep_phone","SSS.1","SSS.2","SSS.3","SSS.4","SSS.5","SSS.6","SSS.7","SSS.8","SSS.9","SSS.10","SSS.11","SSS.12","SSS.13","SSS.14","SSS.15","SSS.16","SSS.17","SSS.18","SSS.19","SSS.20","SSS.21","SSS.22","SSS.23","SSS.24","SSS.25","SSS.26","SSS.27","SSS.28","SSS.29","SSS.30","SSS.31","SSS.32","SSS.33","SSS.34","SSS.35","SSS.36","SSS.37","SSS.38","SSS.39","SSS.40","Reliance_1","Reliance_2","Reliance_3","Reliance_4","Reliance_5","Reliance_6","Reliance_7","Reliance_8","Reliance_9","Reliance_10","Reliance_11","Reliance_12","Reliance_13","ASRS1_1","ASRS1_2","ASRS1_3","ASRS1_4","ASRS1_5","ASRS1_6","ASRS2_1","ASRS2_2","ASRS2_3","ASRS2_4","ASRS2_5","ASRS2_6","ASRS2_7","ASRS2_8","ASRS2_9","ASRS2_10","ASRS2_11","ASRS2_12","Sex","Gender","Age","Race.s.","OwnSP","SPhours_1","OwnSW","id","ADHD1","ADHD2","ADHD3","ADHD4","ADHD5","ADHD6","ADHD7","ADHD8","ADHD9","ADHD10","ADHD11","ADHD12","ADHD13","ADHD14","ADHD15","ADHD16","ADHD17","ADHD18","MAAS_avg","NOMO_sum","ADHD_sum","SSS_sum","reliance_sum","ADHD_z","NOMO_z","SSS_z","reliance_z","MAAS_z","SSS_TAS","SSS_ES","SSS_Dis","SSS_BS"
"160",167,5,3,5,2,2,5,4,3,2,3,3,6,3,3,3,3,4,3,5,1,1,1,1,5,5,5,1,5,5,3,1,1,1,1,1,9,3,4,2,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,4,4,4,2,4,3,3,4,1,1,1,2,0,0,1,2,2,3,3,1,1,3,1,2,1,2,2,2,3,"1",1,3.6,2,NA,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,3.46666666666667,53,6,16,34,-0.0689912513506776,-1.22216710087722,-0.368788363958207,-0.83128712707392,-0.238037824710724,8,4,1,3
"161",168,5,5,3,3,4,5,4,4,4,4,3,5,3,4,5,4,5,4,5,5,1,5,6,5,6,6,6,6,6,6,2,2,2,2,4,8,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,3,2,3,2,3,3,4,2,2,4,3,4,4,2,1,2,1,3,2,1,2,2,2,3,1,3,1,2,2,1,1,2,2,2,"1",1,2,1,20728,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,4.06666666666667,88,7,10,39,0.231613486677275,0.305765418737983,-1.39327824030511,-0.265343882079399,0.529555513122977,4,3,2,0
"163",170,4,5,3,4,5,2,4,4,4,2,3,3,2,2,2,5,7,5,7,5,4,5,7,7,7,7,6,7,6,7,6,7,7,6,5,6,5,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,5,4,5,5,4,4,5,4,4,5,5,5,5,1,1,2,3,4,4,1,4,2,2,3,1,3,0,3,1,0,1,2,2,3,"1",1,4.7,2,19162,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,3.26666666666667,123,9,15,60,0.83282296273318,1.83369793835318,-0.539536676682691,2.11161774689759,-0.493902270655292,4,5,4,1
"165",172,6,6,5,3,6,3,5,4,5,6,5,6,3,5,6,2,4,2,1,2,1,1,2,5,3,2,2,2,2,1,1,1,1,1,1,9,4,5,5,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,2,2,1,2,1,1,1,2,2,4,4,4,5,2,1,1,2,1,0,2,2,1,1,2,0,0,1,2,1,2,2,2,2,5,"1",1,1.5,2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.93333333333333,37,2,29,31,-1.27141020346249,-1.92065053841559,1.85093970146007,-1.17085307407063,1.63830144554944,10,7,8,5
"166",173,5,2,2,2,5,1,2,3,2,2,1,1,2,1,3,6,7,5,7,5,5,3,6,6,6,7,6,6,7,5,2,3,2,3,2,7,2,2,5,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,5,4,4,4,4,4,2,4,4,4,4,4,4,1,3,1,4,3,2,3,4,3,1,4,0,2,2,3,3,3,1,2,2,3,"1",1,5.5,2,NA,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,2.26666666666667,99,10,21,51,1.13342770076113,0.785972782045616,0.484953199664208,1.09291990590745,-1.77322450037813,6,7,6,2
"167",174,3,4,3,2,2,4,4,2,3,2,1,4,1,3,4,5,5,5,6,3,2,2,5,5,3,5,5,5,5,2,2,3,3,2,3,8,3,4,4,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,4,4,4,4,4,4,4,2,4,4,2,2,4,3,1,1,3,4,1,2,3,2,3,3,1,4,1,1,1,1,1,2,2,2,"1",1,5,2,20119,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,2.8,76,8,12,46,0.532218224705228,-0.2180971594158,-1.05178161485614,0.526976660912931,-1.09091931119262,3,1,5,2
"169",178,5,4,5,4,3,3,6,6,5,3,4,5,2,4,5,5,3,3,5,1,1,2,5,6,6,6,6,6,6,7,2,3,2,1,6,7,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,2,4,4,2,2,3,4,2,3,4,4,1,1,1,2,3,0,2,3,1,4,2,0,3,0,1,3,1,2,2,2,2,"1",1,4.5,2,22489,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,4.26666666666667,82,6,4,39,-0.0689912513506776,0.0438341296610915,-2.41776811665201,-0.265343882079399,0.785419959067544,0,1,1,2
"170",179,6,6,3,2,6,3,6,4,2,2,2,5,3,3,6,5,6,6,4,6,6,6,4,6,6,6,6,6,6,6,5,6,5,6,6,8,3,3,2,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,4,4,4,4,4,4,5,2,2,3,4,5,5,2,1,0,2,2,1,1,2,0,0,4,1,2,1,1,2,1,0,2,2,2,"1",1,5.1,1,22492,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.93333333333333,113,3,16,50,-0.970805465434535,1.3971457898917,-0.368788363958207,0.979731256908548,0.358979215826599,3,5,5,2
"173",182,4,3,2,4,5,5,3,4,3,4,2,1,3,2,2,6,5,3,4,5,2,5,6,6,5,6,4,6,6,6,3,2,2,2,6,6,4,4,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,3,4,4,3,2,4,2,2,4,3,4,2,1,2,2,3,3,3,1,3,3,3,4,1,3,2,2,1,1,1,2,2,2,"1",1,4,1,NA,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,3.13333333333333,90,10,8,41,1.13342770076113,0.39307584843028,-1.73477486575407,-0.0389665840815901,-0.66447856795167,4,2,1,0
"174",183,2,3,3,1,1,2,1,2,1,1,1,1,1,2,4,5,6,4,6,4,4,5,6,5,4,6,3,3,6,2,2,2,2,5,3,6,2,2,7,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,2,4,1,4,3,2,4,2,4,4,3,3,5,1,0,2,1,4,3,2,1,3,2,1,0,3,4,1,2,1,1,2,2,4,"1",1,3.9,1,22498,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1.73333333333333,83,7,22,41,0.231613486677275,0.08748934450724,0.655701512388691,-0.0389665840815901,-2.45552968956364,10,6,4,2
