"","Participant","MAAS_1","MAAS_2","MAAS_3","MAAS_4","MAAS_5","MAAS_6","MAAS_7","MAAS_8","MAAS_9","MAAS_10","MAAS_11","MAAS_12","MAAS_13","MAAS_14","MAAS_15","Nomo1_1","Nomo1_2","Nomo1_3","Nomo1_4","Nomo1_5","Nomo1_6","Nomo1_7","Nomo1_8","Nomo1_9","Nomo2_1","Nomo2_2","Nomo2_3","Nomo2_4","Nomo2_5","Nomo2_6","Nomo2_7","Nomo2_8","Nomo2_9","Nomo2_10","Nomo2_11","sleep_hours","sleep_quality","sleep_effects","sleep_onset","sleep_phone","SSS.1","SSS.2","SSS.3","SSS.4","SSS.5","SSS.6","SSS.7","SSS.8","SSS.9","SSS.10","SSS.11","SSS.12","SSS.13","SSS.14","SSS.15","SSS.16","SSS.17","SSS.18","SSS.19","SSS.20","SSS.21","SSS.22","SSS.23","SSS.24","SSS.25","SSS.26","SSS.27","SSS.28","SSS.29","SSS.30","SSS.31","SSS.32","SSS.33","SSS.34","SSS.35","SSS.36","SSS.37","SSS.38","SSS.39","SSS.40","Reliance_1","Reliance_2","Reliance_3","Reliance_4","Reliance_5","Reliance_6","Reliance_7","Reliance_8","Reliance_9","Reliance_10","Reliance_11","Reliance_12","Reliance_13","ASRS1_1","ASRS1_2","ASRS1_3","ASRS1_4","ASRS1_5","ASRS1_6","ASRS2_1","ASRS2_2","ASRS2_3","ASRS2_4","ASRS2_5","ASRS2_6","ASRS2_7","ASRS2_8","ASRS2_9","ASRS2_10","ASRS2_11","ASRS2_12","Sex","Gender","Age","Race.s.","OwnSP","SPhours_1","OwnSW","id","ADHD1","ADHD2","ADHD3","ADHD4","ADHD5","ADHD6","ADHD7","ADHD8","ADHD9","ADHD10","ADHD11","ADHD12","ADHD13","ADHD14","ADHD15","ADHD16","ADHD17","ADHD18","MAAS_avg","NOMO_sum","ADHD_sum","SSS_sum","reliance_sum","ADHD_z","NOMO_z","SSS_z","reliance_z","MAAS_z","SSS_TAS","SSS_ES","SSS_Dis","SSS_BS"
"187",196,3,3,3,2,2,2,2,3,2,2,1,4,3,2,4,5,5,6,5,4,5,6,7,5,5,7,5,6,7,5,4,4,5,5,3,8,4,4,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,4,4,3,4,3,3,4,3,3,4,4,4,4,2,2,1,2,3,2,2,2,2,2,3,1,2,1,3,3,4,3,2,2,3,"1",1,2.8,2,19276,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,2.53333333333333,104,9,12,47,0.83282296273318,1.00424885627636,-1.05178161485614,0.640165309911835,-1.43207190578537,6,2,2,2
"188",198,5,6,3,2,4,1,2,3,2,4,3,5,1,3,2,5,6,5,6,3,1,4,5,6,5,7,5,6,5,4,1,2,2,5,2,7,4,2,3,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,4,1,1,3,3,4,5,2,3,4,3,2,2,1,3,3,4,4,2,1,2,1,1,2,0,4,2,2,1,1,2,2,3,3,"1",1,5,2,19261,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3.06666666666667,85,6,15,37,-0.0689912513506776,0.174799774199537,-0.539536676682691,-0.491721180077207,-0.749766716599858,7,5,2,0
"189",199,3,5,4,3,5,2,3,3,3,3,3,2,3,3,5,5,6,3,5,4,5,2,5,5,5,6,5,5,5,5,2,2,3,4,2,7,3,3,3,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,2,2,3,4,2,3,4,4,3,4,3,3,4,1,1,0,1,1,2,1,2,1,1,2,1,1,2,3,3,2,2,2,2,4,"1",1,3,2,13975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3.33333333333333,84,3,18,41,-0.970805465434535,0.131144559353389,-0.0272917385092412,-0.0389665840815901,-0.408614122007102,9,7,1,1
"190",200,2,4,3,3,3,4,3,4,3,4,3,2,2,2,2,5,5,5,4,2,4,5,5,5,6,6,6,6,6,6,3,3,3,4,3,8,4,3,2,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,3,3,2,2,2,4,3,4,4,4,3,5,4,1,1,2,2,4,2,2,2,1,2,3,0,2,1,3,4,2,1,2,2,1,"1",1,6,2,21271,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,2.93333333333333,92,5,22,43,-0.36959598937863,0.480386278122577,0.655701512388691,0.187410713916218,-0.920343013896237,8,5,6,4
"191",201,3,3,4,1,6,5,3,3,2,3,2,3,3,2,5,5,6,6,4,2,2,2,2,6,5,6,4,5,6,7,2,1,1,6,4,9,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,4,2,2,4,2,2,4,3,2,2,2,1,0,2,2,2,1,3,1,1,1,2,3,1,2,3,2,2,2,2,2,"1",1,2,2,20113,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,3.2,82,6,7,35,-0.0689912513506776,0.0438341296610915,-1.90552317847856,-0.718098478075016,-0.57919041930348,4,3,0,1
"192",202,5,6,4,5,4,3,4,3,3,3,3,6,4,3,3,1,2,1,4,1,1,2,4,2,5,5,4,5,4,3,1,1,1,1,1,8,3,3,7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,2,3,2,3,2,2,3,2,4,3,1,2,2,3,4,4,2,2,2,3,3,0,3,3,2,3,1,1,2,2,2,"1",1,12.5,1,21868,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,3.93333333333333,49,11,7,32,1.43403243878909,-1.39678796026181,-1.90552317847856,-1.05766442507173,0.358979215826599,1,5,0,0
"193",203,3,5,3,2,4,5,2,3,2,3,4,2,2,2,4,5,5,3,6,6,5,5,7,6,7,7,7,7,7,7,5,4,4,5,2,7,3,3,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,4,4,2,4,4,4,4,3,4,4,5,3,3,2,2,1,2,0,4,1,2,1,1,2,0,3,3,2,2,1,1,2,2,1,"1",1,6.1,2,22510,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,3.06666666666667,110,6,16,48,-0.0689912513506776,1.26618014535325,-0.368788363958207,0.75335395891074,-0.749766716599858,6,4,5,1
"194",204,4,3,4,3,3,5,3,3,4,3,3,6,2,3,3,4,5,5,5,3,2,4,6,6,6,6,6,6,5,6,2,2,3,3,5,7,4,4,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,4,2,2,4,4,4,4,3,2,3,4,4,2,1,1,1,3,3,2,2,3,1,2,3,1,1,2,0,1,1,1,2,2,6,"1",1,8,2,19402,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3.46666666666667,90,4,17,42,-0.670200727406583,0.39307584843028,-0.198040051233724,0.0742220649173141,-0.238037824710724,9,4,3,1
"195",205,3,3,3,2,4,2,2,3,4,4,2,3,2,3,5,3,2,2,3,3,2,6,6,5,5,5,5,3,5,2,2,2,5,3,6,7,3,3,7,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,2,2,2,4,3,3,4,2,4,3,3,4,4,1,1,2,2,4,2,2,3,2,3,2,0,3,1,2,4,1,2,2,2,3,"1",1,5,2,17035,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,3,75,8,19,40,0.532218224705228,-0.261752374261948,0.143456574215242,-0.152155233080494,-0.835054865248048,6,5,5,2
"196",206,5,5,2,2,3,5,4,3,2,3,3,5,2,2,5,1,6,4,6,6,6,6,6,6,6,6,6,6,6,5,2,6,6,3,7,7,2,2,7,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,5,5,4,4,4,4,4,4,4,4,4,5,4,3,2,0,3,1,2,1,3,2,2,3,1,1,2,1,2,2,2,2,2,3,"1",1,6.8,2,18994,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,3.4,106,8,15,55,0.532218224705228,1.09155928596866,-0.539536676682691,1.54567450190307,-0.323325973358914,6,3,5,0
"199",209,4,5,3,6,5,6,5,5,5,5,3,5,2,4,2,3,3,4,5,6,1,1,1,5,3,3,3,3,3,3,3,5,5,5,4,8,2,3,7,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,2,2,2,2,4,2,4,4,2,4,2,2,4,1,1,1,3,2,2,1,2,1,1,3,1,2,2,2,2,3,1,2,2,2,"1",1,4,2,22114,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4.33333333333333,69,4,22,36,-0.670200727406583,-0.523683663338839,0.655701512388691,-0.604909829076111,0.870708107715733,5,6,8,2
"200",210,3,6,5,3,3,5,3,3,4,4,3,6,5,4,4,3,2,2,4,5,2,2,2,2,4,5,5,5,5,4,1,2,1,1,1,8.5,4,5,3,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,3,2,1,3,2,1,4,1,2,3,3,2,2,1,1,1,2,3,2,2,3,2,1,1,1,2,2,1,0,2,1,2,2,2,"1",1,3,2,22192,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4.06666666666667,58,3,18,29,-0.970805465434535,-1.00389102664647,-0.0272917385092412,-1.39723037206844,0.529555513122977,8,5,4,0
"201",211,5,6,5,4,6,4,6,6,4,5,5,6,5,5,6,2,4,2,5,4,4,2,5,4,4,6,5,5,6,3,1,1,2,1,1,7,3,4,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,4,2,2,2,4,2,4,2,2,4,3,3,3,0,0,1,2,3,2,0,2,0,2,2,0,2,1,1,1,1,1,2,2,1,"1",1,3.1,1,22513,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,67,1,12,37,-1.57201494149044,-0.610994093031136,-1.05178161485614,-0.491721180077207,1.97945404014219,4,3,4,0
"202",212,3,6,2,2,2,6,3,3,2,3,3,3,1,3,4,5,4,3,7,5,4,7,5,5,6,6,5,4,6,5,4,5,6,4,5,7,3,3,5,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,4,4,4,4,4,4,4,4,3,4,4,2,3,2,3,1,3,3,3,1,4,2,2,3,1,2,4,3,2,3,3,2,2,3,"1",1,6.5,2,21949,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,3.06666666666667,101,13,12,48,2.03524191484499,0.873283211737914,-1.05178161485614,0.75335395891074,-0.749766716599858,2,4,4,1
"204",214,6,5,4,3,2,2,2,3,1,2,3,3,2,4,5,5,4,4,4,2,2,4,5,5,5,3,3,5,5,4,2,2,4,6,6,6,3,4,6,2,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,3,2,2,4,3,2,4,3,2,2,3,3,4,2,1,2,2,3,3,2,3,1,2,1,0,2,1,2,2,1,0,2,2,4,"1",1,8.5,1,NA,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,3.13333333333333,80,6,23,37,-0.0689912513506776,-0.0434763000312056,0.826449825113175,-0.491721180077207,-0.66447856795167,7,6,8,1
"205",215,4,3,3,3,4,6,3,5,4,4,4,3,2,2,1,5,6,4,6,4,4,3,6,6,6,6,5,4,5,5,5,4,4,6,3,6,3,2,3,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,3,3,2,4,3,3,3,2,2,4,2,3,4,1,1,2,2,2,1,1,2,2,2,2,1,3,3,2,2,2,2,2,2,4,"1",1,5.7,1,13495,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,3.4,97,6,19,38,-0.0689912513506776,0.698662352353319,0.143456574215242,-0.378532531078303,-0.323325973358914,9,3,4,2
"206",216,5,4,5,3,5,5,5,5,5,5,3,5,3,4,5,3,5,2,5,2,2,2,3,5,5,6,3,5,5,4,2,2,3,2,3,6,3,4,5,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,4,2,4,3,4,2,4,2,4,4,4,2,4,1,1,2,2,3,2,1,2,1,1,2,0,2,1,2,1,0,1,2,2,2,"1",1,6,2,21388,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46666666666667,69,2,18,43,-1.27141020346249,-0.523683663338839,-0.0272917385092412,0.187410713916218,1.04128440501211,6,6,4,2
"208",218,3,3,3,2,3,1,2,4,2,3,2,3,2,3,4,5,6,6,4,5,4,3,3,5,6,6,6,6,6,6,2,2,2,6,2,6,4,3,3,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,3,2,2,4,4,4,4,2,4,4,4,3,4,1,1,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,"1",1,4,2,13078,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,2.66666666666667,91,6,13,44,-0.0689912513506776,0.436731063276428,-0.881033302131657,0.300599362915123,-1.26149560848899,2,4,6,0
"209",219,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,3,2,3,3,2,3,3,3,3,2,2,2,2,7,3,3,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,2,2,2,2,2,2,2,2,3,3,3,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,"1",1,6,2,20608,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,4,51,7,26,31,0.231613486677275,-1.30947753056951,1.33869476328662,-1.17085307407063,0.444267364474788,8,7,9,2
"211",221,3,3,2,3,4,1,2,3,1,1,4,3,1,2,4,5,6,2,6,2,1,5,6,6,6,6,6,6,5,3,1,1,1,5,1,7,3,4,2,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,4,2,1,2,4,4,4,2,3,4,2,4,4,1,1,1,3,4,4,2,3,4,2,3,1,3,2,1,2,3,1,2,2,1,"1",1,1.9,2,22435,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,2.46666666666667,80,9,15,40,0.83282296273318,-0.0434763000312056,-0.539536676682691,-0.152155233080494,-1.51736005443356,4,2,4,4
"212",222,5,6,5,4,4,4,3,4,4,3,3,3,3,3,3,5,6,6,6,7,6,6,7,6,4,7,7,5,6,4,2,1,1,3,1,7,3,2,3,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,3,3,4,5,5,4,4,2,3,4,3,4,4,1,0,0,3,3,2,2,4,1,1,2,0,3,1,3,2,2,2,2,2,2,"1",1,3.9,2,16831,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,3.8,96,7,21,48,0.231613486677275,0.655007137507171,0.484953199664208,0.75335395891074,0.188402918530221,8,4,6,4
"213",223,3,3,3,4,4,5,4,5,4,5,5,5,4,5,6,5,4,5,5,4,3,5,5,5,6,6,6,6,6,5,4,4,4,4,3,6,3,3,5,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,3,3,3,4,3,4,4,3,3,3,3,4,4,3,1,1,2,3,2,3,3,1,1,2,2,3,3,1,1,1,1,2,2,3,"1",1,7.2,1,19096,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,4.33333333333333,95,7,18,44,0.231613486677275,0.611351922661022,-0.0272917385092412,0.300599362915123,0.870708107715733,5,4,6,2
"216",226,3,5,2,3,6,3,1,2,1,4,3,4,1,4,1,5,6,3,6,3,4,7,3,3,3,3,3,5,4,6,2,5,6,2,3,6,3,1,3,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,2,2,4,4,2,3,4,4,2,5,4,5,5,2,2,1,3,4,2,1,2,4,3,1,0,4,3,0,1,0,1,2,2,1,"1",1,5.5,2,NA,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,2.86666666666667,82,8,18,46,0.532218224705228,0.0438341296610915,-0.0272917385092412,0.526976660912931,-1.00563116254443,5,5,5,2
"217",227,3,3,3,2,3,3,2,3,4,3,2,3,1,3,4,7,7,6,7,6,5,5,6,5,7,6,5,7,6,6,3,3,5,7,4,7,2,1,4,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,5,5,5,5,4,5,5,4,4,5,5,4,3,1,1,2,4,4,4,2,2,3,4,1,1,4,4,2,1,0,1,2,2,2,"1,3",1,6.5,2,22522,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,2.8,113,8,20,59,0.532218224705228,1.3971457898917,0.314204886939725,1.99842909789869,-1.09091931119262,2,6,8,4
"218",228,3,6,3,4,2,5,3,3,3,4,3,6,2,3,6,6,6,5,6,5,4,2,6,6,5,6,6,5,6,5,2,6,4,5,7,7.5,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,3,4,4,3,3,4,2,4,4,4,4,4,2,1,0,4,4,1,1,2,1,0,3,0,3,1,0,0,0,0,2,2,3,"1",1,5,2,22333,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3.73333333333333,103,5,5,47,-0.36959598937863,0.960593641430211,-2.24701980392752,0.640165309911835,0.103114769882032,2,2,1,0
"220",230,4,6,3,4,3,3,2,4,3,4,2,5,3,4,6,2,2,1,3,4,1,2,1,3,2,2,2,2,2,2,2,2,2,2,2,7.5,4,4,2,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,2,2,1,2,1,1,1,1,3,3,3,1,4,0,2,1,1,3,2,1,1,2,2,2,0,2,1,2,0,0,0,2,2,3,"1",1,1.7,2,16861,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.73333333333333,41,3,18,25,-0.970805465434535,-1.746029679031,-0.0272917385092412,-1.84998496806406,0.103114769882032,8,5,1,4
"221",231,2,5,3,5,4,3,4,4,4,5,3,6,3,3,3,4,3,5,5,6,6,6,4,4,7,7,6,7,6,7,4,4,3,3,4,7,2,2,2,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,4,5,5,4,4,3,2,3,4,4,3,2,2,2,1,3,2,3,2,2,3,1,1,2,1,2,1,2,1,1,1,2,2,2,"1",1,3,2,22240,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.8,101,4,28,45,-0.670200727406583,0.873283211737914,1.68019138873559,0.413788011914027,0.188402918530221,10,9,6,3
"222",232,3,4,2,2,2,2,2,3,2,3,2,3,1,2,2,5,5,4,5,3,2,2,3,4,3,3,4,5,5,5,4,3,3,3,5,8,2,3,7,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,3,4,1,4,4,4,4,4,2,4,3,4,4,3,2,1,2,3,3,1,3,2,2,3,2,3,2,2,3,3,2,2,2,1,"1",1,3,2,22051,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,2.33333333333333,76,12,22,45,1.73463717681704,-0.2180971594158,0.655701512388691,0.413788011914027,-1.68793635172994,8,6,6,2
"223",233,5,5,6,4,5,5,3,4,2,4,5,6,3,3,4,2,5,2,5,2,2,5,2,5,5,6,6,5,6,4,2,1,1,1,1,9,3,5,3,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,4,2,1,1,4,3,4,1,1,4,3,4,4,1,1,0,2,3,2,2,1,1,1,2,0,2,4,1,2,1,1,2,3,2,"5",1,3.3,2,22384,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,4.26666666666667,68,3,15,36,-0.970805465434535,-0.567338878184988,-0.539536676682691,-0.604909829076111,0.785419959067544,8,4,1,2
"224",234,5,4,4,5,5,4,5,5,4,4,5,4,4,5,4,5,2,2,2,1,1,1,6,4,2,2,2,2,2,2,2,2,2,2,2,6,4,3,2,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,2,1,2,1,1,1,1,2,3,3,3,2,1,2,2,1,2,3,3,1,2,1,2,2,0,2,1,1,2,1,1,2,2,2,"1",1,3.3,1,19417,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4.46666666666667,46,5,27,23,-0.36959598937863,-1.52775360480026,1.50944307601111,-2.07636226606187,1.04128440501211,10,7,8,2
"225",235,3,3,2,4,4,4,2,4,1,3,3,5,3,3,4,4,4,4,4,5,5,2,4,6,5,5,4,4,5,4,4,4,4,4,4,7,3,3,3,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,2,1,1,4,4,2,4,1,4,4,4,2,4,1,1,0,2,4,3,1,1,2,2,2,1,2,3,3,2,1,2,2,2,1,"1",1,4.1,2,21862,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,3.2,85,7,26,37,0.231613486677275,0.174799774199537,1.33869476328662,-0.491721180077207,-0.57919041930348,10,8,7,1
"226",236,5,5,3,2,4,5,4,5,2,5,3,3,2,4,3,7,7,2,7,7,7,7,7,7,6,6,7,6,6,6,6,6,6,6,7,8,3,3,5,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,5,5,5,5,5,4,4,2,4,4,4,4,5,1,1,2,2,4,2,1,2,1,1,3,3,4,4,3,0,1,2,2,2,1,"1",1,7.3,2,19636,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,3.66666666666667,126,8,19,56,0.532218224705228,1.96466358289163,0.143456574215242,1.65886315090197,0.0178266212338426,8,3,8,0
"227",237,4,3,3,3,4,3,3,4,4,3,4,5,4,3,4,5,5,5,5,3,3,5,5,3,3,3,5,3,5,3,3,4,4,1,5,7,4,2,2,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,"1",1,10.1,2,22135,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,3.6,78,7,18,46,0.231613486677275,-0.130786729723503,-0.0272917385092412,0.526976660912931,-0.0674615274143462,7,4,4,4
"228",238,5,6,6,5,6,6,6,5,5,6,6,6,5,6,6,1,5,2,4,1,2,2,5,5,4,6,6,5,5,3,1,1,1,1,1,7,4,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,2,1,1,1,2,3,4,1,3,2,3,3,2,1,0,1,1,2,1,1,2,0,1,2,0,1,0,1,0,0,1,2,2,3,"1",1,5,2,21994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66666666666667,61,0,15,28,-1.87261967951839,-0.872925382108028,-0.539536676682691,-1.51041902106735,2.57647108067951,7,4,2,1
"229",239,3,4,3,3,5,4,2,3,3,3,4,1,2,3,2,3,3,2,5,2,4,2,6,4,5,5,4,6,6,6,1,5,2,6,1,8,3,3,4,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,2,2,3,2,3,4,4,3,3,4,4,3,2,2,2,1,2,4,3,2,3,2,3,3,1,2,4,2,3,2,3,2,2,5,"1",1,3.5,1,19420,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,3,78,11,22,39,1.43403243878909,-0.130786729723503,0.655701512388691,-0.265343882079399,-0.835054865248048,7,7,7,0
"230",240,3,5,3,4,3,4,4,4,4,5,4,6,2,3,3,5,5,3,6,2,1,2,5,5,3,7,6,5,6,2,1,1,3,5,1,9,3,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,1,4,4,1,1,4,5,2,5,4,2,4,1,1,2,4,4,2,2,4,2,2,3,1,2,3,2,2,1,2,2,2,1,"1",1,6,2,19852,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,3.8,74,9,11,39,0.83282296273318,-0.305407589108097,-1.22252992758062,-0.265343882079399,0.188402918530221,2,3,4,1
"231",241,4,6,6,3,5,6,6,6,4,5,5,6,4,5,5,2,4,4,3,1,1,2,1,1,2,6,1,2,2,2,2,2,2,2,2,8,4,2,3,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,2,2,2,2,2,2,2,2,2,2,2,4,4,1,1,1,2,2,1,1,3,2,1,1,1,1,1,1,1,0,0,2,2,3,"1",1,4,2,19210,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5.06666666666667,44,2,18,30,-1.27141020346249,-1.61506403449255,-0.0272917385092412,-1.28404172306954,1.80887774284581,6,5,3,3
