experiment,age,well shape,opacity,light,min,n,n wells,time interval,time moving (s),distance moved (mm)
dti,6dpf,round,clear,on,5,32,96,Start-0:05:00,,86.993
dti,6dpf,round,clear,off,5,32,96,0:05:00-0:10:00,,511.11
dti,6dpf,round,clear,on,5,32,96,Start-0:05:00,,474.101
dti,6dpf,round,clear,off,5,32,96,0:05:00-0:10:00,,938.392
dti,6dpf,round,clear,on,5,32,96,0:10:00-0:15:00,,395.376
dti,6dpf,round,clear,off,5,32,96,Start-0:05:00,,1975.8
dti,6dpf,round,clear,on,5,32,96,0:05:00-0:10:00,,969.638
dti,6dpf,round,clear,off,5,32,96,0:10:00-0:15:00,,1539.88
dti,6dpf,round,clear,on,5,32,96,0:15:00-0:20:00,,1110.7
dti,6dpf,round,clear,off,5,32,96,Start-0:05:00,,543.286
dti,6dpf,round,clear,on,5,32,96,0:05:00-0:10:00,,865.99
dti,6dpf,round,clear,off,5,32,96,0:10:00-0:15:00,,196.471
dti,6dpf,round,clear,on,5,32,96,0:15:00-0:20:00,,701.318
dti,6dpf,round,clear,off,5,32,96,Start-0:05:00,,61.6684
dti,6dpf,round,clear,on,5,32,96,0:05:00-0:10:00,,342.973
dti,6dpf,round,clear,off,5,32,96,0:10:00-0:15:00,,46.8219
dti,6dpf,round,clear,on,10,32,96,Start-0:10:00,,555.102
dti,6dpf,round,clear,off,10,32,96,0:10:00-0:20:00,,689.207
dti,6dpf,round,clear,on,10,32,96,0:20:00-0:30:00,,167.445
dti,6dpf,round,clear,off,10,32,96,0:30:00-0:40:00,,828.254
dti,6dpf,round,clear,on,10,32,96,Start-0:10:00,,196.342
dti,6dpf,round,clear,off,10,32,96,Start-0:10:00,,981.274
dti,6dpf,round,clear,on,10,32,96,0:10:00-0:20:00,,1589.03
dti,6dpf,round,clear,off,10,32,96,0:20:00-0:30:00,,1425.43
dti,6dpf,round,clear,on,10,32,96,0:30:00-0:40:00,,2893.73
dti,6dpf,round,clear,off,10,32,96,Start-0:10:00,,4081.83
dti,6dpf,round,clear,on,10,32,96,0:10:00-0:20:00,,2554
dti,6dpf,round,clear,off,10,32,96,0:20:00-0:30:00,,3851.7
dti,6dpf,round,clear,on,10,32,96,0:30:00-0:40:00,,2600.8
dti,6dpf,round,clear,off,10,32,96,Start-0:10:00,,1955.52
dti,6dpf,round,clear,on,10,32,96,0:10:00-0:20:00,,1261.57
dti,6dpf,round,clear,off,10,32,96,0:20:00-0:30:00,,1044.81
dti,6dpf,round,clear,on,10,32,96,0:30:00-0:40:00,,1653.78
dti,6dpf,round,clear,off,10,32,96,Start-0:10:00,,447.016
dti,6dpf,round,clear,on,10,32,96,0:10:00-0:20:00,,874.088
dti,6dpf,round,clear,off,10,32,96,0:20:00-0:30:00,,142.708
dti,6dpf,round,clear,on,10,32,96,0:30:00-0:40:00,,695.599
dti,7dpf,round,clear,off,2.5,10,96,Start-0:02:30,,31.2178
dti,7dpf,round,clear,on,2.5,10,96,0:02:30-0:05:00,,207.805
dti,7dpf,round,clear,off,2.5,10,96,0:05:00-0:07:30,,39.6215
dti,7dpf,round,clear,on,2.5,10,96,0:07:30-0:10:00,,481.172
dti,7dpf,round,clear,off,2.5,10,96,Start-0:02:30,,744.923
dti,7dpf,round,clear,on,2.5,10,96,0:02:30-0:05:00,,476.581
dti,7dpf,round,clear,off,2.5,10,96,0:05:00-0:07:30,,708.546
dti,7dpf,round,clear,on,2.5,10,96,0:07:30-0:10:00,,302.733
dti,7dpf,round,clear,off,2.5,10,96,Start-0:02:30,,138.419
dti,7dpf,round,clear,on,2.5,10,96,0:02:30-0:05:00,,237.858
dti,7dpf,round,clear,off,2.5,10,96,0:05:00-0:07:30,,268.279
dti,7dpf,round,clear,on,2.5,10,96,0:07:30-0:10:00,,227.355
dti,7dpf,round,clear,off,2.5,9,96,Start-0:02:30,,34.1187
dti,7dpf,round,clear,on,2.5,9,96,0:02:30-0:05:00,,255.319
dti,7dpf,round,clear,off,2.5,9,96,0:05:00-0:07:30,,169.426
dti,7dpf,round,clear,on,2.5,9,96,0:07:30-0:10:00,,329.16
dti,7dpf,round,clear,off,2.5,10,96,Start-0:02:30,,73.7916
dti,7dpf,round,clear,on,2.5,10,96,0:02:30-0:05:00,,288.08
dti,7dpf,round,clear,off,2.5,10,96,0:05:00-0:07:30,,234.376
dti,7dpf,round,clear,on,2.5,10,96,0:07:30-0:10:00,,234.158
dti,7dpf,round,clear,off,2.5,10,96,Start-0:02:30,,141.647
dti,7dpf,round,clear,on,2.5,10,96,0:02:30-0:05:00,,217.04
dti,7dpf,round,clear,off,2.5,10,96,0:05:00-0:07:30,,245.261
dti,7dpf,round,clear,on,2.5,10,96,0:07:30-0:10:00,,263.098
dti,7dpf,round,clear,off,5,10,96,Start-0:05:00,,105.167
dti,7dpf,round,clear,on,5,10,96,0:05:00-0:10:00,,606.027
dti,7dpf,round,clear,off,5,10,96,0:10:00-0:15:00,,92.0077
dti,7dpf,round,clear,on,5,10,96,0:15:00-0:20:00,,1934.02
dti,7dpf,round,clear,off,5,10,96,Start-0:05:00,,1045.4
dti,7dpf,round,clear,on,5,10,96,0:05:00-0:10:00,,580.46
dti,7dpf,round,clear,off,5,10,96,0:10:00-0:15:00,,1903.6
dti,7dpf,round,clear,on,5,10,96,0:15:00-0:20:00,,566.461
dti,7dpf,round,clear,off,5,10,96,Start-0:05:00,,1525.92
dti,7dpf,round,clear,on,5,10,96,0:05:00-0:10:00,,2030.52
dti,7dpf,round,clear,off,5,10,96,0:10:00-0:15:00,,541.64
dti,7dpf,round,clear,on,5,10,96,0:15:00-0:20:00,,531.934
dti,7dpf,round,clear,off,5,10,96,Start-0:05:00,,684.599
dti,7dpf,round,clear,on,5,10,96,0:05:00-0:10:00,,637.562
dti,7dpf,round,clear,off,5,10,96,0:10:00-0:15:00,,553.583
dti,7dpf,round,clear,on,5,10,96,0:15:00-0:20:00,,619.599
dti,7dpf,round,clear,off,5,10,96,Start-0:05:00,,477.813
dti,7dpf,round,clear,on,5,10,96,0:05:00-0:10:00,,723.448
dti,7dpf,round,clear,off,5,10,96,0:10:00-0:15:00,,347.192
dti,7dpf,round,clear,on,5,10,96,0:15:00-0:20:00,,761.886
dti,7dpf,round,clear,off,5,10,96,Start-0:05:00,,387.475
dti,7dpf,round,clear,on,5,10,96,0:05:00-0:10:00,,574.925
dti,7dpf,round,clear,off,5,10,96,0:10:00-0:15:00,,611.781
dti,7dpf,round,clear,on,5,10,96,0:15:00-0:20:00,,569.205
dti,7dpf,round,clear,off,10,10,96,Start-0:10:00,,994.036
dti,7dpf,round,clear,on,10,10,96,0:10:00-0:20:00,,1780.68
dti,7dpf,round,clear,off,10,10,96,0:20:00-0:30:00,,4036.17
dti,7dpf,round,clear,on,10,10,96,0:30:00-0:40:00,,3969.67
