experiment,age,well shape,opacity,light,min,n,n wells,time interval,time moving (s),distance moved (mm)
dwn,5dpf,round,clear,,,24,48,Start-0:04:00,,88.6075
dwn,5dpf,round,clear,,,24,48,0:04:00-0:08:00,,317.899
dwn,5dpf,round,clear,,,24,48,0:08:00-0:12:00,,134.816
dwn,5dpf,round,clear,,,24,48,0:12:00-0:16:00,,323.786
dwn,5dpf,round,clear,,,24,48,Start-0:04:00,,435.758
dwn,5dpf,round,clear,,,24,48,0:04:00-0:08:00,,617.033
dwn,5dpf,round,clear,,,24,48,0:08:00-0:12:00,,221.876
dwn,5dpf,round,clear,,,24,48,0:12:00-0:16:00,,538.461
dwn,5dpf,round,clear,,,24,48,Start-0:04:00,,414.946
dwn,5dpf,round,clear,,,24,48,0:04:00-0:08:00,,651.201
dwn,5dpf,round,clear,,,24,48,0:08:00-0:12:00,,146.314
dwn,5dpf,round,clear,,,24,48,0:12:00-0:16:00,,536.465
dwn,5dpf,round,clear,,,24,96,Start-0:04:00,,173.525
dwn,5dpf,round,clear,,,24,96,0:04:00-0:08:00,,569.584
dwn,5dpf,round,clear,,,24,96,0:08:00-0:12:00,,314.05
dwn,5dpf,round,clear,,,24,96,0:12:00-0:16:00,,597.589
dwn,5dpf,round,clear,,,24,96,Start-0:04:00,,173.525
dwn,5dpf,round,clear,,,24,96,0:04:00-0:08:00,,569.584
dwn,5dpf,round,clear,,,24,96,0:08:00-0:12:00,,314.05
dwn,5dpf,round,clear,,,24,96,0:12:00-0:16:00,,597.589
dwn,5dpf,round,clear,,,24,96,Start-0:04:00,,268.993
dwn,5dpf,round,clear,,,24,96,0:04:00-0:08:00,,625.572
dwn,5dpf,round,clear,,,24,96,0:08:00-0:12:00,,271.407
dwn,5dpf,round,clear,,,24,96,0:12:00-0:16:00,,602.892
dwo,5dpf,round,clear,,,96,96,Start-0:04:00,,50.410425
dwo,5dpf,round,clear,,,96,96,0:04:00-0:08:00,,146.66975
dwo,5dpf,round,clear,,,96,96,0:08:00-0:12:00,,62.42425
dwo,5dpf,round,clear,,,96,96,0:12:00-0:16:00,,151.588
dwo,5dpf,round,clear,,,192,96,Start-0:04:00,,211.373
dwo,5dpf,round,clear,,,192,96,0:04:00-0:08:00,,327.445
dwo,5dpf,round,clear,,,192,96,0:08:00-0:12:00,,140.711
dwo,5dpf,round,clear,,,192,96,0:12:00-0:16:00,,331.828
dwo,5dpf,round,clear,,,24,96,Start-0:04:00,,173.525
dwo,5dpf,round,clear,,,24,96,0:04:00-0:08:00,,569.584
dwo,5dpf,round,clear,,,24,96,0:08:00-0:12:00,,314.05
dwo,5dpf,round,clear,,,24,96,0:12:00-0:16:00,,597.589
dwo,5dpf,round,clear,,,48,96,Start-0:04:00,,268.993
dwo,5dpf,round,clear,,,48,96,0:04:00-0:08:00,,625.572
dwo,5dpf,round,clear,,,48,96,0:08:00-0:12:00,,271.407
dwo,5dpf,round,clear,,,48,96,0:12:00-0:16:00,,602.892
dwo,5dpf,round,opaque,,,96,96,Start-0:04:00,,83.967925
dwo,5dpf,round,opaque,,,96,96,0:04:00-0:08:00,,153.1725
dwo,5dpf,round,opaque,,,96,96,0:08:00-0:12:00,,60.457125
dwo,5dpf,round,opaque,,,96,96,0:12:00-0:16:00,,154.2655
dwo,5dpf,round,opaque,,,192,96,Start-0:04:00,,263.245
dwo,5dpf,round,opaque,,,192,96,0:04:00-0:08:00,,471.146
dwo,5dpf,round,opaque,,,192,96,0:08:00-0:12:00,,288.955
dwo,5dpf,round,opaque,,,192,96,0:12:00-0:16:00,,484.67
dwo,5dpf,round,opaque,,,24,96,Start-0:04:00,,137.041
dwo,5dpf,round,opaque,,,24,96,0:04:00-0:08:00,,580.274
dwo,5dpf,round,opaque,,,24,96,0:08:00-0:12:00,,231.176
dwo,5dpf,round,opaque,,,24,96,0:12:00-0:16:00,,610.221
dwo,5dpf,round,opaque,,,48,96,Start-0:04:00,,228.302
dwo,5dpf,round,opaque,,,48,96,0:04:00-0:08:00,,607.544
dwo,5dpf,round,opaque,,,48,96,0:08:00-0:12:00,,313.31
dwo,5dpf,round,opaque,,,48,96,0:12:00-0:16:00,,664.106
dws,5dpf,round,clear,,,192,96,Start-0:04:00,,211.373
dws,5dpf,round,clear,,,192,96,0:04:00-0:08:00,,327.445
dws,5dpf,round,clear,,,192,96,0:08:00-0:12:00,,140.711
dws,5dpf,round,clear,,,192,96,0:12:00-0:16:00,,331.828
dws,5dpf,round,clear,,,15,96,Start-0:04:00,,324.971
dws,5dpf,round,clear,,,15,96,0:04:00-0:08:00,,663.925
dws,5dpf,round,clear,,,15,96,0:08:00-0:12:00,,196.53
dws,5dpf,round,clear,,,15,96,0:12:00-0:16:00,,561.809
dws,5dpf,round,clear,,,24,96,Start-0:04:00,,173.525
dws,5dpf,round,clear,,,24,96,0:04:00-0:08:00,,569.584
dws,5dpf,round,clear,,,24,96,0:08:00-0:12:00,,314.05
dws,5dpf,round,clear,,,24,96,0:12:00-0:16:00,,597.589
dws,5dpf,square,clear,,,96,96,Start-0:04:00,,80.6523
dws,5dpf,square,clear,,,96,96,0:04:00-0:08:00,,251.974
dws,5dpf,square,clear,,,96,96,0:08:00-0:12:00,,118.827
dws,5dpf,square,clear,,,96,96,0:12:00-0:16:00,,281.023
dws,5dpf,square,clear,,,44,96,Start-0:04:00,,252.97
dws,5dpf,square,clear,,,44,96,0:04:00-0:08:00,,151.538
dws,5dpf,square,clear,,,44,96,0:08:00-0:12:00,,100.957
dws,5dpf,square,clear,,,44,96,0:12:00-0:16:00,,80.5918
dws,5dpf,square,clear,,,15,96,Start-0:04:00,,232.207
dws,5dpf,square,clear,,,15,96,0:04:00-0:08:00,,405.755
dws,5dpf,square,clear,,,15,96,0:08:00-0:12:00,,167.876
dws,5dpf,square,clear,,,15,96,0:12:00-0:16:00,,347.274
dws,5dpf,square,clear,,,24,96,Start-0:04:00,,336.594
dws,5dpf,square,clear,,,24,96,0:04:00-0:08:00,,439.65
dws,5dpf,square,clear,,,24,96,0:08:00-0:12:00,,196.575
dws,5dpf,square,clear,,,24,96,0:12:00-0:16:00,,397.846
